Date,Site,Transect,Location,species
10.14.12,Cattle Tank North,NE,2230,boerinte
10.14.12,Cattle Tank North,NE,2220,boerinte
10.14.12,Cattle Tank North,NE,2210,rock
10.14.12,Cattle Tank North,NE,2200,redunk
10.14.12,Cattle Tank North,NE,2190,dirt
10.14.12,Cattle Tank North,NE,2180,dirt
10.14.12,Cattle Tank North,NE,2170,dirt
10.14.12,Cattle Tank North,NE,2160,boertorr
10.14.12,Cattle Tank North,NE,2150,dirt
10.14.12,Cattle Tank North,NE,2140,rock
10.14.12,Cattle Tank North,NE,2130,rock
10.14.12,Cattle Tank North,NE,2120,redunk
10.14.12,Cattle Tank North,NE,2110,dirt
10.14.12,Cattle Tank North,NE,2100,acaccons
10.14.12,Cattle Tank North,NE,2090,rock
10.14.12,Cattle Tank North,NE,2080,redunk
10.14.12,Cattle Tank North,NE,2070,acaccons
10.14.12,Cattle Tank North,NE,2070,boutbarb
10.14.12,Cattle Tank North,NE,2060,acaccons
10.14.12,Cattle Tank North,NE,2050,acaccons
10.14.12,Cattle Tank North,NE,2040,acaccons
10.14.12,Cattle Tank North,NE,2030,acaccons
10.14.12,Cattle Tank North,NE,2020,acaccons
10.14.12,Cattle Tank North,NE,2010,acaccons
10.14.12,Cattle Tank North,NE,2000,acaccons
10.14.12,Cattle Tank North,NE,1990,acaccons
10.14.12,Cattle Tank North,NE,1980,acaccons
10.14.12,Cattle Tank North,NE,1970,acaccons
10.14.12,Cattle Tank North,NE,1960,acaccons
10.14.12,Cattle Tank North,NE,1960,muhlport
10.14.12,Cattle Tank North,NE,1950,muhlport
10.14.12,Cattle Tank North,NE,1950,acaccons
10.14.12,Cattle Tank North,NE,1940,acaccons
10.14.12,Cattle Tank North,NE,1940,muhlport
10.14.12,Cattle Tank North,NE,1930,muhlport
10.14.12,Cattle Tank North,NE,1930,acaccons
10.14.12,Cattle Tank North,NE,10,dirt
10.14.12,Cattle Tank North,NE,20,dirt
10.14.12,Cattle Tank North,NE,30,dirt
10.14.12,Cattle Tank North,NE,40,dirt
10.14.12,Cattle Tank North,NE,50,dirt
10.14.12,Cattle Tank North,NE,60,dirt
10.14.12,Cattle Tank North,NE,70,dirt
10.14.12,Cattle Tank North,NE,80,dirt
10.14.12,Cattle Tank North,NE,90,dirt
10.14.12,Cattle Tank North,NE,100,dirt
10.14.12,Cattle Tank North,NE,110,acaccons
10.14.12,Cattle Tank North,NE,120,acaccons
10.14.12,Cattle Tank North,NE,130,acaccons
10.14.12,Cattle Tank North,NE,140,acaccons
10.14.12,Cattle Tank North,NE,150,acaccons
10.14.12,Cattle Tank North,NE,160,dirt
10.14.12,Cattle Tank North,NE,170,acaccons
10.14.12,Cattle Tank North,NE,180,acaccons
10.14.12,Cattle Tank North,NE,190,acaccons
10.14.12,Cattle Tank North,NE,200,dirt
10.14.12,Cattle Tank North,NE,210,dirt
10.14.12,Cattle Tank North,NE,220,dirt
10.14.12,Cattle Tank North,NE,230,dirt
10.14.12,Cattle Tank North,NE,240,dirt
10.14.12,Cattle Tank North,NE,250,dirt
10.14.12,Cattle Tank North,NE,260,dirt
10.14.12,Cattle Tank North,NE,270,dirt
10.14.12,Cattle Tank North,NE,280,dirt
10.14.12,Cattle Tank North,NE,290,dirt
10.14.12,Cattle Tank North,NE,300,dirt
10.14.12,Cattle Tank North,NE,310,dirt
10.14.12,Cattle Tank North,NE,320,dirt
10.14.12,Cattle Tank North,NE,330,dirt
10.14.12,Cattle Tank North,NE,340,dirt
10.14.12,Cattle Tank North,NE,350,dirt
10.14.12,Cattle Tank North,NE,360,dirt
10.14.12,Cattle Tank North,NE,370,dirt
10.14.12,Cattle Tank North,NE,380,dirt
10.14.12,Cattle Tank North,NE,390,dirt
10.14.12,Cattle Tank North,NE,400,dirt
10.14.12,Cattle Tank North,NE,410,dirt
10.14.12,Cattle Tank North,NE,420,dirt
10.14.12,Cattle Tank North,NE,430,dirt
10.14.12,Cattle Tank North,NE,440,dirt
10.14.12,Cattle Tank North,NE,450,dirt
10.14.12,Cattle Tank North,NE,460,dirt
10.14.12,Cattle Tank North,NE,470,dirt
10.14.12,Cattle Tank North,NE,480,dirt
10.14.12,Cattle Tank North,NE,490,dirt
10.14.12,Cattle Tank North,NE,500,dirt
10.14.12,Cattle Tank North,NE,510,dirt
10.14.12,Cattle Tank North,NE,520,dirt
10.14.12,Cattle Tank North,NE,530,dirt
10.14.12,Cattle Tank North,NE,540,dirt
10.14.12,Cattle Tank North,NE,550,dirt
10.14.12,Cattle Tank North,NE,560,dirt
10.14.12,Cattle Tank North,NE,570,dirt
10.14.12,Cattle Tank North,NE,580,acaccons
10.14.12,Cattle Tank North,NE,590,acaccons
10.14.12,Cattle Tank North,NE,600,acaccons
10.14.12,Cattle Tank North,NE,610,dirt
10.14.12,Cattle Tank North,NE,620,dirt
10.14.12,Cattle Tank North,NE,630,dirt
10.14.12,Cattle Tank North,NE,640,dirt
10.14.12,Cattle Tank North,NE,650,dirt
10.14.12,Cattle Tank North,NE,660,dirt
10.14.12,Cattle Tank North,NE,670,dirt
10.14.12,Cattle Tank North,NE,680,dirt
10.14.12,Cattle Tank North,NE,690,dirt
10.14.12,Cattle Tank North,NE,700,dirt
10.14.12,Cattle Tank North,NE,710,dirt
10.14.12,Cattle Tank North,NE,720,dirt
10.14.12,Cattle Tank North,NE,730,dirt
10.14.12,Cattle Tank North,NE,740,acaccons
10.14.12,Cattle Tank North,NE,750,dirt
10.14.12,Cattle Tank North,NE,760,acaccons
10.14.12,Cattle Tank North,NE,770,acaccons
10.14.12,Cattle Tank North,NE,780,acaccons
10.14.12,Cattle Tank North,NE,790,dirt
10.14.12,Cattle Tank North,NE,800,dirt
10.14.12,Cattle Tank North,NE,810,dirt
10.14.12,Cattle Tank North,NE,820,dirt
10.14.12,Cattle Tank North,NE,830,dirt
10.14.12,Cattle Tank North,NE,840,dirt
10.14.12,Cattle Tank North,NE,850,dirt
10.14.12,Cattle Tank North,NE,860,dirt
10.14.12,Cattle Tank North,NE,870,dirt
10.14.12,Cattle Tank North,NE,880,chenfrem
10.14.12,Cattle Tank North,NE,890,acaccons
10.14.12,Cattle Tank North,NE,890,boutbarb
10.14.12,Cattle Tank North,NE,900,acaccons
10.14.12,Cattle Tank North,NE,900,chenfrem
10.14.12,Cattle Tank North,NE,910,acaccons
10.14.12,Cattle Tank North,NE,910,chenfrem
10.14.12,Cattle Tank North,NE,920,acaccons
10.14.12,Cattle Tank North,NE,930,acaccons
10.14.12,Cattle Tank North,NE,930,boerinte
10.14.12,Cattle Tank North,NE,940,acaccons
10.14.12,Cattle Tank North,NE,940,boerinte
10.14.12,Cattle Tank North,NE,950,acaccons
10.14.12,Cattle Tank North,NE,950,boerinte
10.14.12,Cattle Tank North,NE,960,acaccons
10.14.12,Cattle Tank North,NE,970,acaccons
10.14.12,Cattle Tank North,NE,980,acaccons
10.14.12,Cattle Tank North,NE,980,muhlport
10.14.12,Cattle Tank North,NE,990,acaccons
10.14.12,Cattle Tank North,NE,990,muhlport
10.14.12,Cattle Tank North,NE,1000,acaccons
10.14.12,Cattle Tank North,NE,1000,muhlport
10.14.12,Cattle Tank North,NE,1010,acaccons
10.14.12,Cattle Tank North,NE,1010,muhlport
10.14.12,Cattle Tank North,NE,1020,acaccons
10.14.12,Cattle Tank North,NE,1020,muhlport
10.14.12,Cattle Tank North,NE,1030,rock
10.14.12,Cattle Tank North,NE,1040,rock
10.14.12,Cattle Tank North,NE,1050,chenfrem
10.14.12,Cattle Tank North,NE,1060,chenfrem
10.14.12,Cattle Tank North,NE,1070,chenfrem
10.14.12,Cattle Tank North,NE,1080,chenfrem
10.14.12,Cattle Tank North,NE,1090,rock
10.14.12,Cattle Tank North,NE,1100,rock
10.14.12,Cattle Tank North,NE,1110,rock
10.14.12,Cattle Tank North,NE,1120,rock
10.14.12,Cattle Tank North,NE,1130,chenfrem
10.14.12,Cattle Tank North,NE,1140,chenfrem
10.14.12,Cattle Tank North,NE,1150,chenfrem
10.14.12,Cattle Tank North,NE,1160,chenfrem
10.14.12,Cattle Tank North,NE,1170,chenfrem
10.14.12,Cattle Tank North,NE,1180,rock
10.14.12,Cattle Tank North,NE,1190,rock
10.14.12,Cattle Tank North,NE,1200,rock
10.14.12,Cattle Tank North,NE,1210,chenfrem
10.14.12,Cattle Tank North,NE,1220,chenfrem
10.14.12,Cattle Tank North,NE,1230,chenfrem
10.14.12,Cattle Tank North,NE,1240,rock
10.14.12,Cattle Tank North,NE,1250,rock
10.14.12,Cattle Tank North,NE,1260,boutbarb
10.14.12,Cattle Tank North,NE,1270,boutbarb
10.14.12,Cattle Tank North,NE,1280,boutbarb
10.14.12,Cattle Tank North,NE,1290,boutbarb
10.14.12,Cattle Tank North,NE,1300,boutbarb
10.14.12,Cattle Tank North,NE,1310,boutbarb
10.14.12,Cattle Tank North,NE,1320,boutbarb
10.14.12,Cattle Tank North,NE,1330,rock
10.14.12,Cattle Tank North,NE,1340,rock
10.14.12,Cattle Tank North,NE,1350,rock
10.14.12,Cattle Tank North,NE,1360,boutbarb
10.14.12,Cattle Tank North,NE,1370,boutbarb
10.14.12,Cattle Tank North,NE,1380,rock
