Date,Site,Transect,Location,species
10.15.12,Grassy Drainage,NW,10,dirt
10.15.12,Grassy Drainage,NW,20,dirt
10.15.12,Grassy Drainage,NW,30,dirt
10.15.12,Grassy Drainage,NW,40,dirt
10.15.12,Grassy Drainage,NW,50,dirt
10.15.12,Grassy Drainage,NW,60,dirt
10.15.12,Grassy Drainage,NW,70,dirt
10.15.12,Grassy Drainage,NW,80,dirt
10.15.12,Grassy Drainage,NW,90,dirt
10.15.12,Grassy Drainage,NW,100,dirt
10.15.12,Grassy Drainage,NW,110,dirt
10.15.12,Grassy Drainage,NW,120,dirt
10.15.12,Grassy Drainage,NW,130,dirt
10.15.12,Grassy Drainage,NW,140,dirt
10.15.12,Grassy Drainage,NW,150,dirt
10.15.12,Grassy Drainage,NW,160,dirt
10.15.12,Grassy Drainage,NW,170,dirt
10.15.12,Grassy Drainage,NW,180,dirt
10.15.12,Grassy Drainage,NW,190,dirt
10.15.12,Grassy Drainage,NW,200,acaccons
10.15.12,Grassy Drainage,NW,210,acaccons
10.15.12,Grassy Drainage,NW,220,dirt
10.15.12,Grassy Drainage,NW,230,acaccons
10.15.12,Grassy Drainage,NW,240,acaccons
10.15.12,Grassy Drainage,NW,250,acaccons
10.15.12,Grassy Drainage,NW,260,acaccons
10.15.12,Grassy Drainage,NW,270,acaccons
10.15.12,Grassy Drainage,NW,280,dirt
10.15.12,Grassy Drainage,NW,290,dirt
10.15.12,Grassy Drainage,NW,300,dirt
10.15.12,Grassy Drainage,NW,310,dirt
10.15.12,Grassy Drainage,NW,320,dirt
10.15.12,Grassy Drainage,NW,330,dirt
10.15.12,Grassy Drainage,NW,340,dirt
10.15.12,Grassy Drainage,NW,350,dirt
10.15.12,Grassy Drainage,NW,360,dirt
10.15.12,Grassy Drainage,NW,370,dirt
10.15.12,Grassy Drainage,NW,380,dirt
10.15.12,Grassy Drainage,NW,390,acaccons
10.15.12,Grassy Drainage,NW,400,acaccons
10.15.12,Grassy Drainage,NW,410,acaccons
10.15.12,Grassy Drainage,NW,420,dirt
10.15.12,Grassy Drainage,NW,430,dirt
10.15.12,Grassy Drainage,NW,440,dirt
10.15.12,Grassy Drainage,NW,450,dirt
10.15.12,Grassy Drainage,NW,460,dirt
10.15.12,Grassy Drainage,NW,470,acaccons
10.15.12,Grassy Drainage,NW,480,acaccons
10.15.12,Grassy Drainage,NW,490,acaccons
10.15.12,Grassy Drainage,NW,500,acaccons
10.15.12,Grassy Drainage,NW,510,acaccons
10.15.12,Grassy Drainage,NW,520,dirt
10.15.12,Grassy Drainage,NW,530,acaccons
10.15.12,Grassy Drainage,NW,540,acaccons
10.15.12,Grassy Drainage,NW,550,acaccons
10.15.12,Grassy Drainage,NW,560,acaccons
10.15.12,Grassy Drainage,NW,570,acaccons
10.15.12,Grassy Drainage,NW,580,acaccons
10.15.12,Grassy Drainage,NW,590,acaccons
10.15.12,Grassy Drainage,NW,590,gutisaro
10.15.12,Grassy Drainage,NW,600,acaccons
10.15.12,Grassy Drainage,NW,600,gutisaro
10.15.12,Grassy Drainage,NW,610,acaccons
10.15.12,Grassy Drainage,NW,620,acaccons
10.15.12,Grassy Drainage,NW,630,dirt
10.15.12,Grassy Drainage,NW,640,dirt
10.15.12,Grassy Drainage,NW,650,acaccons
10.15.12,Grassy Drainage,NW,660,acaccons
10.15.12,Grassy Drainage,NW,670,acaccons
10.15.12,Grassy Drainage,NW,680,acaccons
10.15.12,Grassy Drainage,NW,690,acaccons
10.15.12,Grassy Drainage,NW,700,acaccons
10.15.12,Grassy Drainage,NW,710,acaccons
10.15.12,Grassy Drainage,NW,720,acaccons
10.15.12,Grassy Drainage,NW,720,muhlport
10.15.12,Grassy Drainage,NW,730,acaccons
10.15.12,Grassy Drainage,NW,730,muhlport
10.15.12,Grassy Drainage,NW,740,acaccons
10.15.12,Grassy Drainage,NW,740,muhlport
10.15.12,Grassy Drainage,NW,750,muhlport
10.15.12,Grassy Drainage,NW,760,boerinte
10.15.12,Grassy Drainage,NW,770,boerinte
10.15.12,Grassy Drainage,NW,780,dirt
10.15.12,Grassy Drainage,NW,790,dirt
10.15.12,Grassy Drainage,NW,800,dirt
10.15.12,Grassy Drainage,NW,810,dirt
10.15.12,Grassy Drainage,NW,820,dirt
10.15.12,Grassy Drainage,NW,830,dirt
10.15.12,Grassy Drainage,NW,840,dirt
10.15.12,Grassy Drainage,NW,850,dirt
10.15.12,Grassy Drainage,NW,860,dirt
10.15.12,Grassy Drainage,NW,870,dirt
10.15.12,Grassy Drainage,NW,880,dirt
10.15.12,Grassy Drainage,NW,890,dirt
10.15.12,Grassy Drainage,NW,900,acaccons
10.15.12,Grassy Drainage,NW,910,acaccons
10.15.12,Grassy Drainage,NW,920,dirt
10.15.12,Grassy Drainage,NW,930,dirt
10.15.12,Grassy Drainage,NW,940,acaccons
10.15.12,Grassy Drainage,NW,950,acaccons
10.15.12,Grassy Drainage,NW,960,dirt
10.15.12,Grassy Drainage,NW,970,acaccons
10.15.12,Grassy Drainage,NW,980,acaccons
10.15.12,Grassy Drainage,NW,990,acaccons
10.15.12,Grassy Drainage,NW,1000,acaccons
10.15.12,Grassy Drainage,NW,1000,boertorr
10.15.12,Grassy Drainage,NW,1010,acaccons
10.15.12,Grassy Drainage,NW,1010,boertorr
10.15.12,Grassy Drainage,NW,1020,acaccons
10.15.12,Grassy Drainage,NW,1030,dirt
10.15.12,Grassy Drainage,NW,1040,dirt
10.15.12,Grassy Drainage,NW,1050,boertorr
10.15.12,Grassy Drainage,NW,1060,dirt
10.15.12,Grassy Drainage,NW,1070,dirt
10.15.12,Grassy Drainage,NW,1080,boerinte
10.15.12,Grassy Drainage,NW,1090,boertorr
10.15.12,Grassy Drainage,NW,1100,dirt
10.15.12,Grassy Drainage,NW,1110,boerspp
10.15.12,Grassy Drainage,NW,1120,boertorr
10.15.12,Grassy Drainage,NW,1130,boerinte
10.15.12,Grassy Drainage,NW,1140,boerinte
10.15.12,Grassy Drainage,NW,1150,boertorr
10.15.12,Grassy Drainage,NW,1160,dirt
10.15.12,Grassy Drainage,NW,1170,dirt
10.15.12,Grassy Drainage,NW,1180,dirt
10.15.12,Grassy Drainage,NW,1190,dirt
10.15.12,Grassy Drainage,NW,1200,dirt
10.15.12,Grassy Drainage,NW,1210,tidelanu
10.15.12,Grassy Drainage,NW,1220,dirt
10.15.12,Grassy Drainage,NW,1230,dirt
10.15.12,Grassy Drainage,NW,1240,dirt
10.15.12,Grassy Drainage,NW,1250,dirt
10.15.12,Grassy Drainage,NW,1260,dirt
10.15.12,Grassy Drainage,NW,1270,dirt
10.15.12,Grassy Drainage,NW,1280,acaccons
10.15.12,Grassy Drainage,NW,1290,acaccons
10.15.12,Grassy Drainage,NW,1300,acaccons
10.15.12,Grassy Drainage,NW,1310,acaccons
10.15.12,Grassy Drainage,NW,1310,amarpalm
10.15.12,Grassy Drainage,NW,1320,acaccons
10.15.12,Grassy Drainage,NW,1320,tidelanu
10.15.12,Grassy Drainage,NW,1330,acaccons
10.15.12,Grassy Drainage,NW,1330,tidelanu
10.15.12,Grassy Drainage,NW,1340,acaccons
10.15.12,Grassy Drainage,NW,1350,dirt
10.15.12,Grassy Drainage,NW,1360,acaccons
10.15.12,Grassy Drainage,NW,1370,acaccons
10.15.12,Grassy Drainage,NW,1380,acaccons
10.15.12,Grassy Drainage,NW,1380,amarpalm
10.15.12,Grassy Drainage,NW,1390,acaccons
10.15.12,Grassy Drainage,NW,1400,dirt
10.15.12,Grassy Drainage,NW,1410,acaccons
10.15.12,Grassy Drainage,NW,1420,acaccons
10.15.12,Grassy Drainage,NW,1430,acaccons
10.15.12,Grassy Drainage,NW,1440,acaccons
10.15.12,Grassy Drainage,NW,1450,acaccons
10.15.12,Grassy Drainage,NW,1460,dirt
10.15.12,Grassy Drainage,NW,1470,acaccons
10.15.12,Grassy Drainage,NW,1480,acaccons
10.15.12,Grassy Drainage,NW,1490,acaccons
10.15.12,Grassy Drainage,NW,1500,acaccons
10.15.12,Grassy Drainage,NW,1510,acaccons
10.15.12,Grassy Drainage,NW,1510,muhlport
10.15.12,Grassy Drainage,NW,1520,acaccons
10.15.12,Grassy Drainage,NW,1520,muhlport
10.15.12,Grassy Drainage,NW,1530,acaccons
10.15.12,Grassy Drainage,NW,1540,acaccons
10.15.12,Grassy Drainage,NW,1550,acaccons
10.15.12,Grassy Drainage,NW,1560,acaccons
10.15.12,Grassy Drainage,NW,1570,acaccons
10.15.12,Grassy Drainage,NW,1580,acaccons
10.15.12,Grassy Drainage,NW,1590,acaccons
10.15.12,Grassy Drainage,NW,1600,acaccons
10.15.12,Grassy Drainage,NW,1610,acaccons
10.15.12,Grassy Drainage,NW,1620,acaccons
10.15.12,Grassy Drainage,NW,1620,amarpalm
10.15.12,Grassy Drainage,NW,1630,acaccons
10.15.12,Grassy Drainage,NW,1640,acaccons
10.15.12,Grassy Drainage,NW,1650,acaccons
10.15.12,Grassy Drainage,NW,1660,dirt
10.15.12,Grassy Drainage,NW,1670,acaccons
10.15.12,Grassy Drainage,NW,1680,acaccons
10.15.12,Grassy Drainage,NW,1690,tidelanu
10.15.12,Grassy Drainage,NW,1690,acaccons
10.15.12,Grassy Drainage,NW,1700,acaccons
10.15.12,Grassy Drainage,NW,1710,acaccons
10.15.12,Grassy Drainage,NW,1710,tidelanu
10.15.12,Grassy Drainage,NW,1720,tidelanu
10.15.12,Grassy Drainage,NW,1720,acaccons
10.15.12,Grassy Drainage,NW,1730,acaccons
10.15.12,Grassy Drainage,NW,1740,acaccons
10.15.12,Grassy Drainage,NW,1750,acaccons
10.15.12,Grassy Drainage,NW,1760,acaccons
10.15.12,Grassy Drainage,NW,1760,boerinte
10.15.12,Grassy Drainage,NW,1770,acaccons
10.15.12,Grassy Drainage,NW,1770,boerinte
10.15.12,Grassy Drainage,NW,1780,dirt
10.15.12,Grassy Drainage,NW,1790,dirt
