Date,Site,Transect,Location,species
10.13.12,Plot17,SE,10,acaccons
10.13.12,Plot17,SE,20,acaccons
10.13.12,Plot17,SE,30,acaccons
10.13.12,Plot17,SE,40,acaccons
10.13.12,Plot17,SE,50,acaccons
10.13.12,Plot17,SE,60,dirt
10.13.12,Plot17,SE,70,dirt
10.13.12,Plot17,SE,80,dirt
10.13.12,Plot17,SE,90,dirt
10.13.12,Plot17,SE,100,arisadsc
10.13.12,Plot17,SE,100,boertorr
10.13.12,Plot17,SE,110,amarpalm
10.13.12,Plot17,SE,110,panihirt
10.13.12,Plot17,SE,120,arisadsc
10.13.12,Plot17,SE,130,arisadsc
10.13.12,Plot17,SE,130,panihirt
10.13.12,Plot17,SE,140,arisadsc
10.13.12,Plot17,SE,150,arisadsc
10.13.12,Plot17,SE,150,panihirt
10.13.12,Plot17,SE,160,arisadsc
10.13.12,Plot17,SE,170,panihirt
10.13.12,Plot17,SE,180,arisadsc
10.13.12,Plot17,SE,190,dirt
10.13.12,Plot17,SE,200,dirt
10.13.12,Plot17,SE,210,dirt
10.13.12,Plot17,SE,220,dirt
10.13.12,Plot17,SE,230,dirt
10.13.12,Plot17,SE,240,dead
10.13.12,Plot17,SE,250,dead
10.13.12,Plot17,SE,260,arisadsc
10.13.12,Plot17,SE,270,arisadsc
10.13.12,Plot17,SE,270,boutbarb
10.13.12,Plot17,SE,280,dirt
10.13.12,Plot17,SE,290,dirt
10.13.12,Plot17,SE,300,dirt
10.13.12,Plot17,SE,310,dirt
10.13.12,Plot17,SE,320,dirt
10.13.12,Plot17,SE,330,panihirt
10.13.12,Plot17,SE,340,dirt
10.13.12,Plot17,SE,350,dirt
10.13.12,Plot17,SE,360,boertorr
10.13.12,Plot17,SE,370,dirt
10.13.12,Plot17,SE,380,dirt
10.13.12,Plot17,SE,390,dirt
10.13.12,Plot17,SE,400,boertorr
10.13.12,Plot17,SE,410,boertorr
10.13.12,Plot17,SE,420,boertorr
10.13.12,Plot17,SE,430,boertorr
10.13.12,Plot17,SE,440,dirt
10.13.12,Plot17,SE,450,dirt
10.13.12,Plot17,SE,460,boertorr
10.13.12,Plot17,SE,470,boertorr
10.13.12,Plot17,SE,480,dirt
10.13.12,Plot17,SE,490,dirt
10.13.12,Plot17,SE,500,dirt
10.13.12,Plot17,SE,510,dirt
10.13.12,Plot17,SE,520,dirt
10.13.12,Plot17,SE,530,dirt
10.13.12,Plot17,SE,540,dirt
10.13.12,Plot17,SE,550,dirt
10.13.12,Plot17,SE,560,boertorr
10.13.12,Plot17,SE,570,boertorr
10.13.12,Plot17,SE,580,boutbarb
10.13.12,Plot17,SE,590,boutbarb
10.13.12,Plot17,SE,600,dirt
10.13.12,Plot17,SE,610,dirt
10.13.12,Plot17,SE,620,dirt
10.13.12,Plot17,SE,630,dirt
10.13.12,Plot17,SE,640,floucern
10.13.12,Plot17,SE,650,floucern
10.13.12,Plot17,SE,660,floucern
10.13.12,Plot17,SE,670,floucern
10.13.12,Plot17,SE,680,dirt
10.13.12,Plot17,SE,690,dirt
10.13.12,Plot17,SE,700,dirt
10.13.12,Plot17,SE,710,dirt
10.13.12,Plot17,SE,720,boerinte
10.13.12,Plot17,SE,730,dirt
10.13.12,Plot17,SE,740,dirt
10.13.12,Plot17,SE,750,dirt
10.13.12,Plot17,SE,760,acacspp
10.13.12,Plot17,SE,770,acacspp
10.13.12,Plot17,SE,780,acacspp
10.13.12,Plot17,SE,790,acacspp
10.13.12,Plot17,SE,800,dirt
10.13.12,Plot17,SE,810,dirt
10.13.12,Plot17,SE,820,acacspp
10.13.12,Plot17,SE,830,acacspp
10.13.12,Plot17,SE,840,acacspp
10.13.12,Plot17,SE,850,dirt
10.13.12,Plot17,SE,860,dirt
10.13.12,Plot17,SE,870,dirt
10.13.12,Plot17,SE,880,dirt
10.13.12,Plot17,SE,890,dirt
10.13.12,Plot17,SE,900,dirt
10.13.12,Plot17,SE,910,dirt
10.13.12,Plot17,SE,920,eurolana
10.13.12,Plot17,SE,930,eurolana
10.13.12,Plot17,SE,940,dead
10.13.12,Plot17,SE,950,eurolana
10.13.12,Plot17,SE,960,floucern
10.13.12,Plot17,SE,960,eurolana
10.13.12,Plot17,SE,960,muhlport
10.13.12,Plot17,SE,970,floucern
10.13.12,Plot17,SE,970,muhlport
10.13.12,Plot17,SE,980,floucern
10.13.12,Plot17,SE,980,muhlport
10.13.12,Plot17,SE,990,floucern
10.13.12,Plot17,SE,990,muhlport
10.13.12,Plot17,SE,1000,floucern
10.13.12,Plot17,SE,1000,muhlport
10.13.12,Plot17,SE,1010,muhlport
10.13.12,Plot17,SE,1020,muhlport
10.13.12,Plot17,SE,1020,floucern
10.13.12,Plot17,SE,1030,floucern
10.13.12,Plot17,SE,1040,floucern
10.13.12,Plot17,SE,1050,dirt
10.13.12,Plot17,SE,1060,dirt
10.13.12,Plot17,SE,1070,dirt
10.13.12,Plot17,SE,1080,dirt
10.13.12,Plot17,SE,1090,dirt
10.13.12,Plot17,SE,1100,dirt
10.13.12,Plot17,SE,1110,dirt
10.13.12,Plot17,SE,1120,dirt
10.13.12,Plot17,SE,1130,dirt
10.13.12,Plot17,SE,1140,boertorr
10.13.12,Plot17,SE,1150,boertorr
10.13.12,Plot17,SE,1160,boertorr
10.13.12,Plot17,SE,1170,dirt
