Date,Site,Transect,Location,species
10.15.12,Riparian North,NE,10,amarpalm
10.15.12,Riparian North,NE,20,amarpalm
10.15.12,Riparian North,NE,30,dirt
10.15.12,Riparian North,NE,40,dirt
10.15.12,Riparian North,NE,50,dirt
10.15.12,Riparian North,NE,60,dirt
10.15.12,Riparian North,NE,70,dirt
10.15.12,Riparian North,NE,80,dirt
10.15.12,Riparian North,NE,90,dirt
10.15.12,Riparian North,NE,100,dirt
10.15.12,Riparian North,NE,110,dirt
10.15.12,Riparian North,NE,120,dirt
10.15.12,Riparian North,NE,130,dirt
10.15.12,Riparian North,NE,140,dirt
10.15.12,Riparian North,NE,150,dirt
10.15.12,Riparian North,NE,160,dirt
10.15.12,Riparian North,NE,170,dirt
10.15.12,Riparian North,NE,180,dirt
10.15.12,Riparian North,NE,190,dirt
10.15.12,Riparian North,NE,200,dirt
10.15.12,Riparian North,NE,210,dirt
10.15.12,Riparian North,NE,220,dirt
10.15.12,Riparian North,NE,230,dirt
10.15.12,Riparian North,NE,240,amarpalm
10.15.12,Riparian North,NE,250,dirt
10.15.12,Riparian North,NE,260,dirt
10.15.12,Riparian North,NE,270,dirt
10.15.12,Riparian North,NE,280,dirt
10.15.12,Riparian North,NE,290,dirt
10.15.12,Riparian North,NE,300,ephetrif
10.15.12,Riparian North,NE,310,ephetrif
10.15.12,Riparian North,NE,320,muhlport
10.15.12,Riparian North,NE,330,muhlport
10.15.12,Riparian North,NE,330,ephetrif
10.15.12,Riparian North,NE,340,ephetrif
10.15.12,Riparian North,NE,340,muhlport
10.15.12,Riparian North,NE,350,muhlport
10.15.12,Riparian North,NE,350,ephetrif
10.15.12,Riparian North,NE,360,ephetrif
10.15.12,Riparian North,NE,360,muhlport
10.15.12,Riparian North,NE,370,muhlport
10.15.12,Riparian North,NE,370,ephetrif
10.15.12,Riparian North,NE,380,ephetrif
10.15.12,Riparian North,NE,390,ephetrif
10.15.12,Riparian North,NE,390,amarpalm
10.15.12,Riparian North,NE,400,amarpalm
10.15.12,Riparian North,NE,410,amarpalm
10.15.12,Riparian North,NE,420,amarpalm
10.15.12,Riparian North,NE,430,dirt
10.15.12,Riparian North,NE,440,dirt
10.15.12,Riparian North,NE,450,dirt
10.15.12,Riparian North,NE,460,floucern
10.15.12,Riparian North,NE,470,floucern
10.15.12,Riparian North,NE,470,amarpalm
10.15.12,Riparian North,NE,480,amarpalm
10.15.12,Riparian North,NE,480,floucern
10.15.12,Riparian North,NE,490,floucern
10.15.12,Riparian North,NE,490,amarpalm
10.15.12,Riparian North,NE,500,floucern
10.15.12,Riparian North,NE,510,floucern
10.15.12,Riparian North,NE,520,floucern
10.15.12,Riparian North,NE,530,floucern
10.15.12,Riparian North,NE,540,floucern
10.15.12,Riparian North,NE,550,floucern
10.15.12,Riparian North,NE,560,floucern
10.15.12,Riparian North,NE,570,floucern
10.15.12,Riparian North,NE,580,perenana
10.15.12,Riparian North,NE,590,floucern
10.15.12,Riparian North,NE,590,muhlport
10.15.12,Riparian North,NE,600,floucern
10.15.12,Riparian North,NE,610,floucern
10.15.12,Riparian North,NE,620,floucern
10.15.12,Riparian North,NE,630,floucern
10.15.12,Riparian North,NE,640,floucern
10.15.12,Riparian North,NE,650,floucern
10.15.12,Riparian North,NE,650,acacgreg
10.15.12,Riparian North,NE,660,acacgreg
10.15.12,Riparian North,NE,660,floucern
10.15.12,Riparian North,NE,660,amarpalm
10.15.12,Riparian North,NE,670,amarpalm
10.15.12,Riparian North,NE,670,floucern
10.15.12,Riparian North,NE,680,floucern
10.15.12,Riparian North,NE,680,acacgreg
10.15.12,Riparian North,NE,690,floucern
10.15.12,Riparian North,NE,700,floucern
10.15.12,Riparian North,NE,710,amarpalm
10.15.12,Riparian North,NE,720,dirt
10.15.12,Riparian North,NE,730,acacgreg
10.15.12,Riparian North,NE,740,acacgreg
10.15.12,Riparian North,NE,750,acacgreg
10.15.12,Riparian North,NE,760,acacgreg
10.15.12,Riparian North,NE,770,dirt
10.15.12,Riparian North,NE,780,dirt
10.15.12,Riparian North,NE,790,dirt
10.15.12,Riparian North,NE,800,amarpalm
10.15.12,Riparian North,NE,810,chlovirg
10.15.12,Riparian North,NE,820,amarpalm
10.15.12,Riparian North,NE,830,amarpalm
10.15.12,Riparian North,NE,840,dirt
10.15.12,Riparian North,NE,850,dirt
10.15.12,Riparian North,NE,860,dirt
10.15.12,Riparian North,NE,870,amarpalm
10.15.12,Riparian North,NE,880,amarpalm
10.15.12,Riparian North,NE,890,amarpalm
10.15.12,Riparian North,NE,900,amarpalm
10.15.12,Riparian North,NE,910,amarpalm
10.15.12,Riparian North,NE,920,amarpalm
10.15.12,Riparian North,NE,930,amarpalm
10.15.12,Riparian North,NE,940,amarpalm
10.15.12,Riparian North,NE,950,chlovirg
10.15.12,Riparian North,NE,960,dirt
10.15.12,Riparian North,NE,970,dirt
10.15.12,Riparian North,NE,980,amarpalm
10.15.12,Riparian North,NE,980,chlovirg
