Date,Site,Transect,Location,species
10.16.2012,Riparian South,NE,10,erioaber
10.16.2012,Riparian South,NE,20,dirt
10.16.2012,Riparian South,NE,30,dirt
10.16.2012,Riparian South,NE,40,dirt
10.16.2012,Riparian South,NE,50,dirt
10.16.2012,Riparian South,NE,60,dirt
10.16.2012,Riparian South,NE,70,erioaber
10.16.2012,Riparian South,NE,80,dirt
10.16.2012,Riparian South,NE,90,boerinte
10.16.2012,Riparian South,NE,100,dirt
10.16.2012,Riparian South,NE,110,dirt
10.16.2012,Riparian South,NE,120,dirt
10.16.2012,Riparian South,NE,130,dirt
10.16.2012,Riparian South,NE,140,amarpalm
10.16.2012,Riparian South,NE,150,acaccons
10.16.2012,Riparian South,NE,160,boertorr
10.16.2012,Riparian South,NE,170,dirt
10.16.2012,Riparian South,NE,180,dirt
10.16.2012,Riparian South,NE,190,dirt
10.16.2012,Riparian South,NE,200,taliaura
10.16.2012,Riparian South,NE,210,acacgreg
10.16.2012,Riparian South,NE,220,acacgreg
10.16.2012,Riparian South,NE,230,acacgreg
10.16.2012,Riparian South,NE,240,acacgreg
10.16.2012,Riparian South,NE,250,acacgreg
10.16.2012,Riparian South,NE,260,acacgreg
10.16.2012,Riparian South,NE,270,acacgreg
10.16.2012,Riparian South,NE,280,acacgreg
10.16.2012,Riparian South,NE,290,acacgreg
10.16.2012,Riparian South,NE,290,acaccons
10.16.2012,Riparian South,NE,290,taliaura
10.16.2012,Riparian South,NE,300,acacgreg
10.16.2012,Riparian South,NE,300,boerinte
10.16.2012,Riparian South,NE,300,acaccons
10.16.2012,Riparian South,NE,310,tidelanu
10.16.2012,Riparian South,NE,310,acaccons
10.16.2012,Riparian South,NE,320,boerinte
10.16.2012,Riparian South,NE,320,acaccons
10.16.2012,Riparian South,NE,330,acaccons
10.16.2012,Riparian South,NE,340,acaccons
10.16.2012,Riparian South,NE,340,boertorr
10.16.2012,Riparian South,NE,350,acaccons
10.16.2012,Riparian South,NE,350,amarpalm
10.16.2012,Riparian South,NE,350,eraglehm
10.16.2012,Riparian South,NE,360,eraglehm
10.16.2012,Riparian South,NE,370,eraglehm
10.16.2012,Riparian South,NE,380,eraglehm
10.16.2012,Riparian South,NE,390,boerinte
10.16.2012,Riparian South,NE,400,acaccons
10.16.2012,Riparian South,NE,400,amarpalm
10.16.2012,Riparian South,NE,410,acaccons
10.16.2012,Riparian South,NE,420,acaccons
10.16.2012,Riparian South,NE,430,acaccons
10.16.2012,Riparian South,NE,440,acaccons
10.16.2012,Riparian South,NE,450,acaccons
10.16.2012,Riparian South,NE,450,sidaspin
10.16.2012,Riparian South,NE,460,acaccons
10.16.2012,Riparian South,NE,460,sidaspin
10.16.2012,Riparian South,NE,470,acaccons
10.16.2012,Riparian South,NE,480,sidaspin
10.16.2012,Riparian South,NE,480,acaccons
10.16.2012,Riparian South,NE,480,sidaproc
10.16.2012,Riparian South,NE,490,acaccons
10.16.2012,Riparian South,NE,500,acaccons
10.16.2012,Riparian South,NE,500,sidaproc
10.16.2012,Riparian South,NE,510,acaccons
10.16.2012,Riparian South,NE,510,eraglehm
10.16.2012,Riparian South,NE,520,acaccons
10.16.2012,Riparian South,NE,530,acaccons
10.16.2012,Riparian South,NE,540,acaccons
10.16.2012,Riparian South,NE,550,acaccons
10.16.2012,Riparian South,NE,550,amarpalm
10.16.2012,Riparian South,NE,550,eraglehm
10.16.2012,Riparian South,NE,560,acaccons
10.16.2012,Riparian South,NE,560,amarpalm
