SpCode,ScientificName,CommonName,Family,Lifespan,GrowthForm,Native,questions
acaccons,Acacia constricta,Whitethorn acacia,Fabaceae,perennial,shrub,1,
acacgreg,Acacia greggii,Catclaw acacia,Fabaceae,perennial,shrub,1,
acacspp,Acacia spp.,No white thorns,Fabaceae,perennial,shrub,1,
alliinca,Allionia incarnata,Trailing windmills,Nyctaginaceae,perennial,forb,1,
amaracan,Amaranthus acanthochiton,Greenstripe,Amaranthaceae,annual,forb,1,
amarpalm,Amaranthus palmeri,carelessweed,Amaranthaceae,annual,forb,1,
ambrarte,Ambrosia artemisiifolia,annual ragweed,Asteraceae,annual,forb,1,
ammochen,Ammocodon chenopodioides,Goosefoot monopod,Nyctaginaceae,perennial,forb,1,
apodundu,Apodanthera undulata,Melon loco,Cucurbitaceae,perennial,forb,1,
arisadsc,Aristida adscensionis,sixweeks threeawn,Poaceae,annual,grass,1,
arishamu,Aristida hamulosa,Mesa threeawn,Poaceae,perennial,grass,1,
arislong,Aristida longiseta,Purple threeawn,Poaceae,perennial,grass,1,
atriacan,Atriplex acanthocarpa,Saltbush,Chenopodiaceae,perennial,subshrub,1,shrub
atriwrig,Atriplex wrightii,Wright's saltbush,Chenopodiaceae,annual,forb,1,
atrispp,Atriplex spp.,Unknown saltbush,Chenopodiaceae,NULL,forb,1,
bahiabsi,Bahia absinthifolia,Sageleaf Bahia,Asteraceae,perennial,forb,1,
bahibite,Bahia biternata,slimlobe bahia,Asteraceae,annual,forb,1,
bailmult,Baileya multiradiata,desert marigold,Asteraceae,annual,forb,1,
boercocc,Boerhavia coccinea,Garnet spiderling,Nyctaginaceae,perennial,forb,1,
boercout,Boerhavia coulteri,Coulter's spiderling,Nyctaginaceae,annual,forb,1,
boerinte,Boerhavia intermedia,firewing spiderling,Nyctaginaceae,annual,forb,1,
boerspic,Boerhavia spicata,creeping spiderling,Nyctaginaceae,annual,forb,1,
boerspp,Boerhavia spp.,NULL,Nyctaginaceae,annual,forb,1,
boertorr,Boerhavia torreyana,creeping spiderling,Nyctaginaceae,annual,forb,1,
bothbarb,Bothriochloa barbinodis,Cane bluestem,Poaceae,perennial,grass,1,
boutaris,Bouteloua aristidoides,needle grama,Poaceae,annual,grass,1,
