Date,Site,Transect,Location,species
10.16.12,Waser Site,NE,10,dirt
10.16.12,Waser Site,NE,20,boerinte
10.16.12,Waser Site,NE,30,sidaspin
10.16.12,Waser Site,NE,40,dirt
10.16.12,Waser Site,NE,50,dirt
10.16.12,Waser Site,NE,60,dirt
10.16.12,Waser Site,NE,70,dirt
10.16.12,Waser Site,NE,80,dirt
10.16.12,Waser Site,NE,90,boertorr
10.16.12,Waser Site,NE,100,dirt
10.16.12,Waser Site,NE,110,dirt
10.16.12,Waser Site,NE,120,dirt
10.16.12,Waser Site,NE,130,boerinte
10.16.12,Waser Site,NE,140,dirt
10.16.12,Waser Site,NE,150,boerinte
10.16.12,Waser Site,NE,160,boerinte
10.16.12,Waser Site,NE,170,boertorr
10.16.12,Waser Site,NE,170,boerinte
10.16.12,Waser Site,NE,180,boertorr
10.16.12,Waser Site,NE,180,gutisaro
10.16.12,Waser Site,NE,190,boerinte
10.16.12,Waser Site,NE,200,boerinte
10.16.12,Waser Site,NE,210,boerinte
10.16.12,Waser Site,NE,220,boerinte
10.16.12,Waser Site,NE,230,boerinte
10.16.12,Waser Site,NE,240,boerinte
10.16.12,Waser Site,NE,250,boerinte
10.16.12,Waser Site,NE,250,boutaris
10.16.12,Waser Site,NE,260,boerinte
10.16.12,Waser Site,NE,260,arisadsc
10.16.12,Waser Site,NE,270,boerinte
10.16.12,Waser Site,NE,280,dirt
10.16.12,Waser Site,NE,290,dirt
10.16.12,Waser Site,NE,300,acaccons
10.16.12,Waser Site,NE,300,boerinte
10.16.12,Waser Site,NE,310,acaccons
10.16.12,Waser Site,NE,310,boerinte
10.16.12,Waser Site,NE,320,acaccons
10.16.12,Waser Site,NE,320,boerinte
10.16.12,Waser Site,NE,330,acaccons
10.16.12,Waser Site,NE,330,boerinte
10.16.12,Waser Site,NE,340,acaccons
10.16.12,Waser Site,NE,340,boerinte
10.16.12,Waser Site,NE,340,arisadsc
10.16.12,Waser Site,NE,350,acaccons
10.16.12,Waser Site,NE,350,boertorr
10.16.12,Waser Site,NE,360,acaccons
10.16.12,Waser Site,NE,370,acaccons
10.16.12,Waser Site,NE,380,acaccons
10.16.12,Waser Site,NE,380,tidelanu
10.16.12,Waser Site,NE,390,acaccons
10.16.12,Waser Site,NE,400,acaccons
10.16.12,Waser Site,NE,410,acaccons
10.16.12,Waser Site,NE,410,arisadsc
10.16.12,Waser Site,NE,420,acaccons
10.16.12,Waser Site,NE,420,arisadsc
10.16.12,Waser Site,NE,430,acaccons
10.16.12,Waser Site,NE,430,boertorr
10.16.12,Waser Site,NE,440,acaccons
10.16.12,Waser Site,NE,440,boertorr
10.16.12,Waser Site,NE,450,acaccons
10.16.12,Waser Site,NE,450,boertorr
10.16.12,Waser Site,NE,450,boutaris
10.16.12,Waser Site,NE,460,boertorr
10.16.12,Waser Site,NE,460,boutaris
10.16.12,Waser Site,NE,470,boerinte
10.16.12,Waser Site,NE,480,boerinte
10.16.12,Waser Site,NE,480,dalebrac
10.16.12,Waser Site,NE,490,boerinte
10.16.12,Waser Site,NE,500,boerinte
10.16.12,Waser Site,NE,510,boertorr
10.16.12,Waser Site,NE,520,arisadsc
10.16.12,Waser Site,NE,530,dirt
10.16.12,Waser Site,NE,540,dirt
10.16.12,Waser Site,NE,550,dirt
10.16.12,Waser Site,NE,560,arisadsc
10.16.12,Waser Site,NE,570,dirt
10.16.12,Waser Site,NE,580,boertorr
10.16.12,Waser Site,NE,590,boertorr
10.16.12,Waser Site,NE,600,dalebrac
10.16.12,Waser Site,NE,610,dirt
10.16.12,Waser Site,NE,620,dirt
10.16.12,Waser Site,NE,630,dirt
10.16.12,Waser Site,NE,640,dirt
10.16.12,Waser Site,NE,650,dirt
10.16.12,Waser Site,NE,660,dirt
10.16.12,Waser Site,NE,670,dirt
10.16.12,Waser Site,NE,680,dirt
10.16.12,Waser Site,NE,690,dirt
10.16.12,Waser Site,NE,700,dirt
10.16.12,Waser Site,NE,710,sidaspin
10.16.12,Waser Site,NE,710,dalebrac
10.16.12,Waser Site,NE,720,dirt
10.16.12,Waser Site,NE,730,dirt
10.16.12,Waser Site,NE,740,dirt
10.16.12,Waser Site,NE,750,boertorr
10.16.12,Waser Site,NE,750,sidaspin
10.16.12,Waser Site,NE,760,dirt
10.16.12,Waser Site,NE,770,boerinte
10.16.12,Waser Site,NE,780,dirt
10.16.12,Waser Site,NE,790,dirt
10.16.12,Waser Site,NE,800,rock
10.16.12,Waser Site,NE,810,dirt
10.16.12,Waser Site,NE,820,boerinte
10.16.12,Waser Site,NE,830,boertorr
10.16.12,Waser Site,NE,830,boerinte
10.16.12,Waser Site,NE,840,boerinte
10.16.12,Waser Site,NE,840,dalebrac
10.16.12,Waser Site,NE,850,dirt
10.16.12,Waser Site,NE,860,boerinte
10.16.12,Waser Site,NE,870,boerinte
10.16.12,Waser Site,NE,880,boerinte
10.16.12,Waser Site,NE,890,boertorr
10.16.12,Waser Site,NE,900,dirt
10.16.12,Waser Site,NE,910,boertorr
10.16.12,Waser Site,NE,920,boertorr
10.16.12,Waser Site,NE,920,dalebrac
10.16.12,Waser Site,NE,930,boerinte
10.16.12,Waser Site,NE,940,boerinte
10.16.12,Waser Site,NE,950,boerinte
10.16.12,Waser Site,NE,960,sidaspin
10.16.12,Waser Site,NE,970,dalebrac
10.16.12,Waser Site,NE,980,dalebrac
10.16.12,Waser Site,NE,990,dalebrac
10.16.12,Waser Site,NE,1000,dalebrac
10.16.12,Waser Site,NE,1010,dirt
10.16.12,Waser Site,NE,1020,acaccons
10.16.12,Waser Site,NE,1020,dalebrac
10.16.12,Waser Site,NE,1030,acaccons
10.16.12,Waser Site,NE,1030,dalebrac
10.16.12,Waser Site,NE,1040,dirt
10.16.12,Waser Site,NE,1050,dirt
10.16.12,Waser Site,NE,1060,dirt
10.16.12,Waser Site,NE,1070,dirt
